Title,Description,Local Image Filename
FU ZHENG FANG (Immune Aid),"FU ZHENG FANG (Immune Aid)It nourishes Qi and Yin, strengthen Spleen and harmonize Stomach, removes tumor and stasis, and helps to strengthen Zheng Qi (immunity). It is mainly used for cancer, viral or bacterial infections and the body’s recovery after sickness. It is mainly used to treat immune deficiency, include weakness, fatigue, poor appetite, cancer, HIV positive patient.",FU_ZHENG_FANG_(Immune_Aid).png
FU ZI LI ZHONG WAN (Warm Middle),"FU ZI LI ZHONG WAN (Warm Middle)It warms the ""Middle Energizer"" and strengthens the Spleen, stop diarrhea and pain. It is used for deficiency cold of spleen and stomach, cold pain in the abdomen, vomit and diarrhea, cold hands and feet.",FU_ZI_LI_ZHONG_WAN_(Warm_Middle).png
GAN MAO LING (Common Cold),"GAN MAO LING (Common Cold)It can clear heat and remove toxicity, dispel wind-heat. It used for wind-heat type common cold and early stage of febrile disease. It can also be used for supporting the health of the immune, nervous, and respiratory systems as well as the sinuses, stomach, and bowels.",GAN_MAO_LING_(Common_Cold).png
GUAN JIE YAN WAN (Joint Health),"GUAN JIE YAN WAN (Joint Health)It tonifies Qi and Blood, dispels Wind, Cold and Dampness, and supports a healthy knee function. It is used for of Bi syndrome, which manifest as soreness or stiffness of the knees and loin, or limited movement or numbness of the legs and feet, or spasm of the hands and feet.",GUAN_JIE_YAN_WAN_(Joint_Health).png
GUI PI WAN (Spleen Aid),"GUI PI WAN (Spleen Aid)It strengthens the Spleen and the Heart. It is used to nourish the Blood, replenish Qi, and calm the mind in cases of overwork or stress. Heart and Spleen deficiency signs are: 1. difficulty in staying focused and easily forgetting what is learned; 2. not falling asleep easily; 3. lack of energy with a pale face; 4. loss of appetite.",GUI_PI_WAN_(Spleen_Aid).png
GUI ZHI FU LING WAN (Uterus Stagnation),"GUI ZHI FU LING WAN (Uterus Stagnation)It helps for promoting Blood circulation, removes Blood Stasis and eliminating mass.  It is used for uterine fibroids, polyps, ovarian cysts, endometriosis and pelvic inflammatory disease. It is mostly used to support a healthy gynecological function.",GUI_ZHI_FU_LING_WAN_(Uterus_Stagnation).png
HUAI JIAO WAN (Sophora Fruit Pills),"HUAI JIAO WAN (Sophora Fruit Pills)It stops itching and pain, subsides swell, expels damp toxin, cleans intestine and expels wind, colds the Blood and stops bleeding. It is used for intestinal wind and hematochezia, bleeding hemorrhoids, tenesmus and rectocele with dry feces caused by heat in the blood.",HUAI_JIAO_WAN_(Sophora_Fruit_Pills).png
HUO XIANG ZHENG QI WAN (Regulate Stomach),"HUO XIANG ZHENG QI WAN (Regulate Stomach)It can relieve the exterior syndrome, transform dampness, regulate Qi, and harmonize the middle Jiao. It is used to regulate the digestive system and maintain normal bowel functions. It can also be used for stomachache, diarrhea, motion sickness, cold, fever and headache.",HUO_XIANG_ZHENG_QI_WAN_(Regulate_Stomach).png
JIA WEI XIAO YAO WAN (Ease Life Plus),"JIA WEI XIAO YAO WAN (Ease Life Plus)It can smooth Liver, clear heat, tonify Spleen and nourish blood. It is used for Live Qi stagnation, blood deficiency, Liver- Spleen disharmony , symptoms include hypochondrium distending pain, dizziness and vertigo, lassitude and poor appetite, irregular menstruation, belly distending pain. It can also be used for supporting emotional harmony.",JIA_WEI_XIAO_YAO_WAN_(Ease_Life_Plus).png
JIANG DAN GU CHUAN WAN (Lower Cholesterol),JIANG DAN GU CHUAN WAN (Lower Cholesterol)It helps removing blood stasis and dredging collaterals. It is used for maintaining healthy cholesterol and triglycerides within the normal range.,JIANG_DAN_GU_CHUAN_WAN_(Lower_Cholesterol).png
