Title,Description,Local Image Filename
YOU GUI WAN (Tonify Kidney Yang),"YOU GUI WAN (Tonify Kidney Yang)It can warm and tonify Kidney Yang, replenish sperm and stop  spermatorrhea. It is used for Kidney Yang deficiency, Life-gate fire deficiency, symptoms include cold and sore in waist and knee, lassitude, fear of cold, impotence and spermatorrhea, thin sloppy stool, frequent micturition.",No Image Found
YU PING FENG WAN (Protective Screen),"YU PING FENG WAN (Protective Screen)It can tonify Qi (vital energy), consolidate the body's external surface, and stop perspiration. It is used for weak external body, spontaneous sweating, susceptibility to Wind evils, , and pale complexion.  It helps reinforcing the body's surface and strengthening the defensive Qi. It may support the immune function.",YU_PING_FENG_WAN_(Protective_Screen).png
ZHEN ZHU AN CHUANG WAN (Pearl Skin),"ZHEN ZHU AN CHUANG WAN (Pearl Skin)It is suitable for a range of skin issues that manifest in itching, redness. The redness is related to heat, and the tendency to present with a greasy complexion and pustules is associated with dampness. It deals with the root cause by clearing heat and eliminating dampness from the skin.",ZHEN_ZHU_AN_CHUANG_WAN_(Pearl_Skin).png
ZHI BAI DI HUANG WAN (Yin Deficiency & Heat),"ZHI BAI DI HUANG WAN (Yin Deficiency & Heat)It nourishes Yin and clears heat. It is used for Yin deficiency with heat, hot flashes and night sweat, dry mouth and thirsty, scanty dark urine. It can be used for menopause-associated night sweats or hot flashes.",ZHI_BAI_DI_HUANG_WAN_(Yin_Deficiency_&_Heat).png
ZHI KE DING CHUAN WAN (Wheeze & Cough),"ZHI KE DING CHUAN WAN (Wheeze & Cough)It disseminates Lung Qi and relieves cough, clears Heat Phlegm and replenishes Lung and Spleen. It is suitable for chronic cough, bronchitis and asthma, accompanied by the symptoms of thick yellow phlegm, chest tightness and shortness of breath.",ZHI_KE_DING_CHUAN_WAN_(Wheeze_&_Cough).png
ZHI YANG WAN (Anti Itching),"ZHI YANG WAN (Anti Itching)It can moisten skin and stop itching. It can be used for itch skin, neurodermatitis, seborrheic dermatitis, eczema, etc.",ZHI_YANG_WAN_(Anti_Itching).png
ZHUANG YANG WAN (Tonify Yang),"ZHUANG YANG WAN (Tonify Yang)It can tonify Yang energy and support male vitality. It is used for deficiency of the Kidney Yang, symptoms include low-back and knee weakness, cold limbs, impotency and premature ejaculation. It also supports Yin energy and promotes the general wellbeing.",ZHUANG_YANG_WAN_(Tonify_Yang).png
ZHUANG YAO JIAN SHEN WAN (Strengthen Waist),"ZHUANG YAO JIAN SHEN WAN (Strengthen Waist)It nourishes the Kidneys, strengthens the muscles and strengthens the bones. It is used for chronic waist, leg or joint pain caused by a Deficiency of Kidney Qi. It is commonly seen in elderly people who are weak and have pain in the waist, legs and shoulders, senile lumbocrural pain, and it’s also used for osteoporosis.",No Image Found
ZUO GU SHEN JING TONG WAN (Sciatic Pain),"ZUO GU SHEN JING TONG WAN (Sciatic Pain)It is specifically formulated to support sciatic nerve function. | It works by dredging the meridians and removing obstructions from the channels while relaxing the tendons and muscles, strengthening the bones and tonifying the Kidneys. It also dispels cold and damp.",ZUO_GU_SHEN_JING_TONG_WAN_(Sciatic_Pain).png
ZUO GUI WAN (Nourish Kidney Yin),"ZUO GUI WAN (Nourish Kidney Yin)It can nourish Yin and tonify Kidney. It is used for Kidney Yin deficiency, symptoms include weakness of the loins and the knees, tidal fever, night sweating, lassitude, dry mouth. It can also support sexual wellness and promote female reproduction.",No Image Found
